Annual Income ($),Spending Score (1-100)
0.0789581732237043,0.39
0.1842357375219767,0.81
0.4526935264825713,0.06
0.31056881467990355,0.77
0.20002737216671754,0.4
0.3053049364649899,0.76
0.1631802246623222,0.06
0.44216577005274404,0.9400000000000001
0.5105961868466211,0.03
0.5158600650615347,0.72
0.036847147504395335,0.14
0.4895406739869666,0.99
0.4211102571930896,0.15
0.4790129175571394,0.77
0.10001368608335877,0.13
0.2684577889605946,0.79
0.15265246823249495,0.35000000000000003
0.46848516112731214,0.66
0.1052775642982724,0.29
0.3263604493246444,0.98
0.5053323086317075,0.35000000000000003
0.021055512859654478,0.73
0.22108288502637202,0.05
0.373735353258867,0.73
0.3526798403992125,0.14
0.2737216671755082,0.8200000000000001
0.3579437186141261,0.32
0.4105825007632623,0.61
0.09474980786844515,0.31
0.1052775642982724,0.87
0.20529125038163115,0.04
0.17897185930706305,0.73
0.31056881467990355,0.04
0.3263604493246444,0.92
0.4790129175571394,0.14
0.5000684304167938,0.81
0.07369429500879067,0.17
0.3263604493246444,0.73
0.04737490393422258,0.26
0.36320759682903975,0.75
0.1315969553728405,0.35000000000000003
0.4474296482676577,0.92
0.11580532072809963,0.36
0.17370798109214944,0.61
0.3789992314737806,0.28
0.01579163464474086,0.65
0.2737216671755082,0.55
0.373735353258867,0.47000000000000003
0.4105825007632623,0.42
0.1315969553728405,0.42
0.4632212829123985,0.52
0.5105961868466211,0.6
0.38952698790360785,0.54
0.3579437186141261,0.6
0.09474980786844515,0.45
0.5000684304167938,0.41000000000000003
0.373735353258867,0.5
0.042111025719308956,0.46
0.3000410582500763,0.51
0.46848516112731214,0.46
0.44216577005274404,0.56
0.263193910745681,0.55
0.263193910745681,0.52
0.25266615431585376,0.59
0.331624327539558,0.51
0.04737490393422258,0.59
0.01579163464474086,0.5
0.4316380136229168,0.48
0.4263741354080032,0.59
0.5105961868466211,0.47000000000000003
0.4790129175571394,0.55
0.04737490393422258,0.42
0.23161064145619925,0.49
0.0526387821491362,0.56
0.46848516112731214,0.47000000000000003
0.25793003253076735,0.54
0.3526798403992125,0.53
